date,hour,timestamp,country,price
2022/01/11,15:00 - 16:00,2022-01-11 15:00:00,belgium,277.9
2022/01/11,16:00 - 17:00,2022-01-11 16:00:00,belgium,289.94
2022/01/11,17:00 - 18:00,2022-01-11 17:00:00,belgium,316.4
2022/01/11,18:00 - 19:00,2022-01-11 18:00:00,belgium,315.9
2022/01/11,19:00 - 20:00,2022-01-11 19:00:00,belgium,309.2
2022/01/11,20:00 - 21:00,2022-01-11 20:00:00,belgium,285.33
2022/01/11,21:00 - 22:00,2022-01-11 21:00:00,belgium,244.75
2022/01/11,22:00 - 23:00,2022-01-11 22:00:00,belgium,234.09
2022/01/11,23:00 - 00:00,2022-01-11 23:00:00,belgium,211.69
2022/01/12,00:00 - 01:00,2022-01-12 00:00:00,belgium,196.65
2022/01/12,01:00 - 02:00,2022-01-12 01:00:00,belgium,187.1
2022/01/12,02:00 - 03:00,2022-01-12 02:00:00,belgium,184.27
2022/01/12,03:00 - 04:00,2022-01-12 03:00:00,belgium,179.58
2022/01/12,04:00 - 05:00,2022-01-12 04:00:00,belgium,178.33
2022/01/12,05:00 - 06:00,2022-01-12 05:00:00,belgium,193.5
2022/01/12,06:00 - 07:00,2022-01-12 06:00:00,belgium,234.68
2022/01/12,07:00 - 08:00,2022-01-12 07:00:00,belgium,273.18
2022/01/12,08:00 - 09:00,2022-01-12 08:00:00,belgium,300.1
2022/01/12,09:00 - 10:00,2022-01-12 09:00:00,belgium,292.74
2022/01/12,10:00 - 11:00,2022-01-12 10:00:00,belgium,275.5
2022/01/12,11:00 - 12:00,2022-01-12 11:00:00,belgium,258.65
2022/01/12,12:00 - 13:00,2022-01-12 12:00:00,belgium,245.11
2022/01/12,13:00 - 14:00,2022-01-12 13:00:00,belgium,232.08
2022/01/12,14:00 - 15:00,2022-01-12 14:00:00,belgium,234.77
2022/01/12,15:00 - 16:00,2022-01-12 15:00:00,belgium,240.01
2022/01/12,16:00 - 17:00,2022-01-12 16:00:00,belgium,255.0
2022/01/12,17:00 - 18:00,2022-01-12 17:00:00,belgium,284.82
2022/01/12,18:00 - 19:00,2022-01-12 18:00:00,belgium,285.97
2022/01/12,19:00 - 20:00,2022-01-12 19:00:00,belgium,269.03
2022/01/12,20:00 - 21:00,2022-01-12 20:00:00,belgium,247.8
2022/01/12,21:00 - 22:00,2022-01-12 21:00:00,belgium,213.72
2022/01/12,22:00 - 23:00,2022-01-12 22:00:00,belgium,225.0
2022/01/12,23:00 - 00:00,2022-01-12 23:00:00,belgium,192.36
2022/01/13,00:00 - 01:00,2022-01-13 00:00:00,belgium,200.0
2022/01/13,01:00 - 02:00,2022-01-13 01:00:00,belgium,188.9
2022/01/13,02:00 - 03:00,2022-01-13 02:00:00,belgium,192.6
